Age,Weight
Age,Height
Age,Neck
Age,Chest
Age,Abdomen
Age,Hip
Age,Thigh
Age,Knee
Age,Ankle
Age,Biceps
Age,Forearm
Age,Wrist
Age,log(Age)
Age,log(Weight)
Age,log(Height)
Age,log(Neck)
Age,log(Chest)
Age,log(Abdomen)
Age,log(Hip)
Age,log(Thigh)
Age,log(Knee)
Age,log(Ankle)
Age,log(Biceps)
Age,log(Forearm)
Age,log(Wrist)
Age,sin(Age)
Age,sin(Weight)
Age,sin(Height)
Age,sin(Neck)
Age,sin(Chest)
Age,sin(Abdomen)
Age,sin(Hip)
Age,sin(Thigh)
Age,sin(Knee)
Age,sin(Ankle)
Age,sin(Biceps)
Age,sin(Forearm)
Age,sin(Wrist)
Age,Age^2
Age,Weight^2
Age,Height^2
Age,Neck^2
Age,Chest^2
Age,Abdomen^2
Age,Hip^2
Age,Thigh^2
Age,Knee^2
Age,Ankle^2
Age,Biceps^2
Age,Forearm^2
Age,Wrist^2
Weight,Height
Weight,Neck
Weight,Chest
Weight,Abdomen
Weight,Hip
Weight,Thigh
Weight,Knee
Weight,Ankle
Weight,Biceps
Weight,Forearm
Weight,Wrist
Weight,log(Age)
Weight,log(Weight)
Weight,log(Height)
Weight,log(Neck)
Weight,log(Chest)
Weight,log(Abdomen)
Weight,log(Hip)
Weight,log(Thigh)
Weight,log(Knee)
Weight,log(Ankle)
Weight,log(Biceps)
Weight,log(Forearm)
Weight,log(Wrist)
Weight,sin(Age)
Weight,sin(Weight)
Weight,sin(Height)
Weight,sin(Neck)
Weight,sin(Chest)
Weight,sin(Abdomen)
Weight,sin(Hip)
Weight,sin(Thigh)
Weight,sin(Knee)
Weight,sin(Ankle)
Weight,sin(Biceps)
Weight,sin(Forearm)
Weight,sin(Wrist)
Weight,Age^2
Weight,Weight^2
Weight,Height^2
Weight,Neck^2
Weight,Chest^2
Weight,Abdomen^2
Weight,Hip^2
Weight,Thigh^2
Weight,Knee^2
Weight,Ankle^2
Weight,Biceps^2
Weight,Forearm^2
Weight,Wrist^2
Height,Neck
Height,Chest
Height,Abdomen
Height,Hip
Height,Thigh
Height,Knee
Height,Ankle
Height,Biceps
Height,Forearm
Height,Wrist
Height,log(Age)
Height,log(Weight)
Height,log(Height)
Height,log(Neck)
Height,log(Chest)
Height,log(Abdomen)
Height,log(Hip)
Height,log(Thigh)
Height,log(Knee)
Height,log(Ankle)
Height,log(Biceps)
Height,log(Forearm)
Height,log(Wrist)
Height,sin(Age)
Height,sin(Weight)
Height,sin(Height)
Height,sin(Neck)
Height,sin(Chest)
Height,sin(Abdomen)
Height,sin(Hip)
Height,sin(Thigh)
Height,sin(Knee)
Height,sin(Ankle)
Height,sin(Biceps)
Height,sin(Forearm)
Height,sin(Wrist)
Height,Age^2
Height,Weight^2
Height,Height^2
Height,Neck^2
Height,Chest^2
Height,Abdomen^2
Height,Hip^2
Height,Thigh^2
Height,Knee^2
Height,Ankle^2
Height,Biceps^2
Height,Forearm^2
Height,Wrist^2
Neck,Chest
Neck,Abdomen
Neck,Hip
Neck,Thigh
Neck,Knee
Neck,Ankle
Neck,Biceps
Neck,Forearm
Neck,Wrist
Neck,log(Age)
Neck,log(Weight)
Neck,log(Height)
Neck,log(Neck)
Neck,log(Chest)
Neck,log(Abdomen)
Neck,log(Hip)
Neck,log(Thigh)
Neck,log(Knee)
Neck,log(Ankle)
Neck,log(Biceps)
Neck,log(Forearm)
Neck,log(Wrist)
Neck,sin(Age)
Neck,sin(Weight)
Neck,sin(Height)
Neck,sin(Neck)
Neck,sin(Chest)
Neck,sin(Abdomen)
Neck,sin(Hip)
Neck,sin(Thigh)
Neck,sin(Knee)
Neck,sin(Ankle)
Neck,sin(Biceps)
Neck,sin(Forearm)
Neck,sin(Wrist)
Neck,Age^2
Neck,Weight^2
Neck,Height^2
Neck,Neck^2
Neck,Chest^2
Neck,Abdomen^2
Neck,Hip^2
Neck,Thigh^2
Neck,Knee^2
Neck,Ankle^2
Neck,Biceps^2
Neck,Forearm^2
Neck,Wrist^2
Chest,Abdomen
Chest,Hip
Chest,Thigh
Chest,Knee
Chest,Ankle
Chest,Biceps
Chest,Forearm
Chest,Wrist
Chest,log(Age)
Chest,log(Weight)
Chest,log(Height)
Chest,log(Neck)
Chest,log(Chest)
Chest,log(Abdomen)
Chest,log(Hip)
Chest,log(Thigh)
Chest,log(Knee)
Chest,log(Ankle)
Chest,log(Biceps)
Chest,log(Forearm)
Chest,log(Wrist)
Chest,sin(Age)
Chest,sin(Weight)
Chest,sin(Height)
Chest,sin(Neck)
Chest,sin(Chest)
Chest,sin(Abdomen)
Chest,sin(Hip)
Chest,sin(Thigh)
Chest,sin(Knee)
Chest,sin(Ankle)
Chest,sin(Biceps)
Chest,sin(Forearm)
Chest,sin(Wrist)
Chest,Age^2
Chest,Weight^2
Chest,Height^2
Chest,Neck^2
Chest,Chest^2
Chest,Abdomen^2
Chest,Hip^2
Chest,Thigh^2
Chest,Knee^2
Chest,Ankle^2
Chest,Biceps^2
Chest,Forearm^2
Chest,Wrist^2
Abdomen,Hip
Abdomen,Thigh
Abdomen,Knee
Abdomen,Ankle
Abdomen,Biceps
Abdomen,Forearm
Abdomen,Wrist
Abdomen,log(Age)
Abdomen,log(Weight)
Abdomen,log(Height)
Abdomen,log(Neck)
Abdomen,log(Chest)
Abdomen,log(Abdomen)
Abdomen,log(Hip)
Abdomen,log(Thigh)
Abdomen,log(Knee)
Abdomen,log(Ankle)
Abdomen,log(Biceps)
Abdomen,log(Forearm)
Abdomen,log(Wrist)
Abdomen,sin(Age)
Abdomen,sin(Weight)
Abdomen,sin(Height)
